"","Question","rho","P"
"1",1,0.0405047616938298,0.0657942447117263
"2",2,0.0151657481980289,0.49106157317218
"3",3,0.0873929171922171,7.02097377265156e-05
"4",4,0.201351692946038,2.53794047172609e-20
"5",5,0.1405214063481,1.43587889307386e-10
"6",6,0.0813897208344146,0.000214294627181213
"7",7,0.0974184124062247,9.26252807501591e-06
"8",8,0.137582576740968,3.45981985410295e-10
"9",9,0.0816378703783,0.000204927272482284
"10",10,0.0880643638664295,6.16936686369446e-05
"11",11,0.122224872640353,2.54209176701409e-08
"12",12,0.0351050241207723,0.110848492070591
